"Step","cql_random_seed_40_20250507212532 - environment","cql_random_seed_40_20250507212532 - environment__MIN","cql_random_seed_40_20250507212532 - environment__MAX","iql_random_seed_40_20250507212532 - environment","iql_random_seed_40_20250507212532 - environment__MIN","iql_random_seed_40_20250507212532 - environment__MAX","bc_random_seed_40_20250507212528 - environment","bc_random_seed_40_20250507212528 - environment__MIN","bc_random_seed_40_20250507212528 - environment__MAX","iql_optimal_seed_40_20250507212523 - environment","iql_optimal_seed_40_20250507212523 - environment__MIN","iql_optimal_seed_40_20250507212523 - environment__MAX","cql_optimal_seed_40_20250507212524 - environment","cql_optimal_seed_40_20250507212524 - environment__MIN","cql_optimal_seed_40_20250507212524 - environment__MAX","bc_optimal_seed_40_20250507212522 - environment","bc_optimal_seed_40_20250507212522 - environment__MIN","bc_optimal_seed_40_20250507212522 - environment__MAX","cql_bau_seed_40_20250507212520 - environment","cql_bau_seed_40_20250507212520 - environment__MIN","cql_bau_seed_40_20250507212520 - environment__MAX","iql_bau_seed_40_20250507212517 - environment","iql_bau_seed_40_20250507212517 - environment__MIN","iql_bau_seed_40_20250507212517 - environment__MAX","bc_bau_seed_40_20250507212515 - environment","bc_bau_seed_40_20250507212515 - environment__MIN","bc_bau_seed_40_20250507212515 - environment__MAX","cql_random_seed_20_20250507210303 - environment","cql_random_seed_20_20250507210303 - environment__MIN","cql_random_seed_20_20250507210303 - environment__MAX","iql_random_seed_20_20250507210302 - environment","iql_random_seed_20_20250507210302 - environment__MIN","iql_random_seed_20_20250507210302 - environment__MAX","cql_optimal_seed_20_20250507210258 - environment","cql_optimal_seed_20_20250507210258 - environment__MIN","cql_optimal_seed_20_20250507210258 - environment__MAX","iql_optimal_seed_20_20250507210255 - environment","iql_optimal_seed_20_20250507210255 - environment__MIN","iql_optimal_seed_20_20250507210255 - environment__MAX","cql_bau_seed_20_20250507210254 - environment","cql_bau_seed_20_20250507210254 - environment__MIN","cql_bau_seed_20_20250507210254 - environment__MAX","iql_bau_seed_20_20250507210252 - environment","iql_bau_seed_20_20250507210252 - environment__MIN","iql_bau_seed_20_20250507210252 - environment__MAX","bc_random_seed_20_20250507210050 - environment","bc_random_seed_20_20250507210050 - environment__MIN","bc_random_seed_20_20250507210050 - environment__MAX","bc_optimal_seed_20_20250507210048 - environment","bc_optimal_seed_20_20250507210048 - environment__MIN","bc_optimal_seed_20_20250507210048 - environment__MAX","bc_bau_seed_20_20250507210045 - environment","bc_bau_seed_20_20250507210045 - environment__MIN","bc_bau_seed_20_20250507210045 - environment__MAX","cql_random_seed_10_20250507151820 - environment","cql_random_seed_10_20250507151820 - environment__MIN","cql_random_seed_10_20250507151820 - environment__MAX","iql_random_seed_10_20250507151819 - environment","iql_random_seed_10_20250507151819 - environment__MIN","iql_random_seed_10_20250507151819 - environment__MAX","bc_random_seed_10_20250507151816 - environment","bc_random_seed_10_20250507151816 - environment__MIN","bc_random_seed_10_20250507151816 - environment__MAX","iql_optimal_seed_10_20250507151811 - environment","iql_optimal_seed_10_20250507151811 - environment__MIN","iql_optimal_seed_10_20250507151811 - environment__MAX","cql_optimal_seed_10_20250507151812 - environment","cql_optimal_seed_10_20250507151812 - environment__MIN","cql_optimal_seed_10_20250507151812 - environment__MAX","bc_optimal_seed_10_20250507151810 - environment","bc_optimal_seed_10_20250507151810 - environment__MIN","bc_optimal_seed_10_20250507151810 - environment__MAX","cql_bau_seed_10_20250507151807 - environment","cql_bau_seed_10_20250507151807 - environment__MIN","cql_bau_seed_10_20250507151807 - environment__MAX","iql_bau_seed_10_20250507151805 - environment","iql_bau_seed_10_20250507151805 - environment__MIN","iql_bau_seed_10_20250507151805 - environment__MAX","bc_bau_seed_10_20250507151802 - environment","bc_bau_seed_10_20250507151802 - environment__MIN","bc_bau_seed_10_20250507151802 - environment__MAX","bc_random_seed_0_20250507145647 - environment","bc_random_seed_0_20250507145647 - environment__MIN","bc_random_seed_0_20250507145647 - environment__MAX","bc_optimal_seed_0_20250507145643 - environment","bc_optimal_seed_0_20250507145643 - environment__MIN","bc_optimal_seed_0_20250507145643 - environment__MAX","bc_bau_seed_0_20250507145640 - environment","bc_bau_seed_0_20250507145640 - environment__MIN","bc_bau_seed_0_20250507145640 - environment__MAX","cql_random_seed_0_20250507145333 - environment","cql_random_seed_0_20250507145333 - environment__MIN","cql_random_seed_0_20250507145333 - environment__MAX","cql_optimal_seed_0_20250507145331 - environment","cql_optimal_seed_0_20250507145331 - environment__MIN","cql_optimal_seed_0_20250507145331 - environment__MAX","cql_bau_seed_0_20250507145327 - environment","cql_bau_seed_0_20250507145327 - environment__MIN","cql_bau_seed_0_20250507145327 - environment__MAX","iql_random_seed_0_20250507145017 - environment","iql_random_seed_0_20250507145017 - environment__MIN","iql_random_seed_0_20250507145017 - environment__MAX","iql_optimal_seed_0_20250507145013 - environment","iql_optimal_seed_0_20250507145013 - environment__MIN","iql_optimal_seed_0_20250507145013 - environment__MAX","iql_bau_seed_0_20250507145011 - environment","iql_bau_seed_0_20250507145011 - environment__MIN","iql_bau_seed_0_20250507145011 - environment__MAX"
"1000","-428659.7647666412","-428659.7647666412","-428659.7647666412","-260257.3896686293","-260257.3896686293","-260257.3896686293","-233772.79880271206","-233772.79880271206","-233772.79880271206","-208031.82613750655","-208031.82613750655","-208031.82613750655","-308207.4670783381","-308207.4670783381","-308207.4670783381","-215722.3258284509","-215722.3258284509","-215722.3258284509","-112869.74628568605","-112869.74628568605","-112869.74628568605","-98508.51071394475","-98508.51071394475","-98508.51071394475","-128881.67692934143","-128881.67692934143","-128881.67692934143","-421485.5795248532","-421485.5795248532","-421485.5795248532","-249569.9416229326","-249569.9416229326","-249569.9416229326","-265019.9195480189","-265019.9195480189","-265019.9195480189","-205704.8867211824","-205704.8867211824","-205704.8867211824","-110365.56283794034","-110365.56283794034","-110365.56283794034","-100099.1688161868","-100099.1688161868","-100099.1688161868","-227117.00807584493","-227117.00807584493","-227117.00807584493","-204483.05539393617","-204483.05539393617","-204483.05539393617","-105932.06684692598","-105932.06684692598","-105932.06684692598","-465408.2060808029","-465408.2060808029","-465408.2060808029","-238987.6136076151","-238987.6136076151","-238987.6136076151","-219533.78213775597","-219533.78213775597","-219533.78213775597","-194474.65277831216","-194474.65277831216","-194474.65277831216","-286006.2257160857","-286006.2257160857","-286006.2257160857","-206593.37079358383","-206593.37079358383","-206593.37079358383","-124684.03131522376","-124684.03131522376","-124684.03131522376","-100379.85480114636","-100379.85480114636","-100379.85480114636","-119819.66159061903","-119819.66159061903","-119819.66159061903","-215206.73291501327","-215206.73291501327","-215206.73291501327","-198992.56801992035","-198992.56801992035","-198992.56801992035","-124657.63121764694","-124657.63121764694","-124657.63121764694","-526199.2531444912","-526199.2531444912","-526199.2531444912","-314838.977241075","-314838.977241075","-314838.977241075","-110279.80208599126","-110279.80208599126","-110279.80208599126","-292169.3372266156","-292169.3372266156","-292169.3372266156","-242012.87615472087","-242012.87615472087","-242012.87615472087","-99836.0677829079","-99836.0677829079","-99836.0677829079"
"2000","-499299.04295326467","-499299.04295326467","-499299.04295326467","-301953.2577413221","-301953.2577413221","-301953.2577413221","-219949.0005293201","-219949.0005293201","-219949.0005293201","-241408.38393571062","-241408.38393571062","-241408.38393571062","-396006.12347734073","-396006.12347734073","-396006.12347734073","-202991.73987106277","-202991.73987106277","-202991.73987106277","-183246.83818691157","-183246.83818691157","-183246.83818691157","-92853.46259220527","-92853.46259220527","-92853.46259220527","-124113.82759778468","-124113.82759778468","-124113.82759778468","-478330.716352287","-478330.716352287","-478330.716352287","-282651.6138638237","-282651.6138638237","-282651.6138638237","-379490.59729783307","-379490.59729783307","-379490.59729783307","-236947.79372655597","-236947.79372655597","-236947.79372655597","-151726.97913188647","-151726.97913188647","-151726.97913188647","-103319.1952585664","-103319.1952585664","-103319.1952585664","-222216.56473995763","-222216.56473995763","-222216.56473995763","-212544.17291478915","-212544.17291478915","-212544.17291478915","-90685.8546044194","-90685.8546044194","-90685.8546044194","-538782.2505585754","-538782.2505585754","-538782.2505585754","-302087.74625882687","-302087.74625882687","-302087.74625882687","-212636.0632629582","-212636.0632629582","-212636.0632629582","-230709.32394676117","-230709.32394676117","-230709.32394676117","-378859.5268506079","-378859.5268506079","-378859.5268506079","-188301.35030099764","-188301.35030099764","-188301.35030099764","-133805.18206878885","-133805.18206878885","-133805.18206878885","-86779.56651331528","-86779.56651331528","-86779.56651331528","-93810.07981261837","-93810.07981261837","-93810.07981261837","-231519.50645419193","-231519.50645419193","-231519.50645419193","-205583.9361023157","-205583.9361023157","-205583.9361023157","-115525.98065944247","-115525.98065944247","-115525.98065944247","-507643.6027104664","-507643.6027104664","-507643.6027104664","-422063.45534115046","-422063.45534115046","-422063.45534115046","-203321.2933298886","-203321.2933298886","-203321.2933298886","-278709.7563217474","-278709.7563217474","-278709.7563217474","-261025.2523727945","-261025.2523727945","-261025.2523727945","-92172.558323553","-92172.558323553","-92172.558323553"
"3000","-497128.3304180849","-497128.3304180849","-497128.3304180849","-293063.9384882028","-293063.9384882028","-293063.9384882028","-229848.21849257138","-229848.21849257138","-229848.21849257138","-213056.26158971214","-213056.26158971214","-213056.26158971214","-460176.4017564522","-460176.4017564522","-460176.4017564522","-208312.8750983048","-208312.8750983048","-208312.8750983048","-236448.89895747983","-236448.89895747983","-236448.89895747983","-86694.90688251882","-86694.90688251882","-86694.90688251882","-111127.53777103522","-111127.53777103522","-111127.53777103522","-520629.6726867103","-520629.6726867103","-520629.6726867103","-302677.37469378556","-302677.37469378556","-302677.37469378556","-445710.39489840955","-445710.39489840955","-445710.39489840955","-244228.68441989383","-244228.68441989383","-244228.68441989383","-175461.01867359417","-175461.01867359417","-175461.01867359417","-91865.15445112766","-91865.15445112766","-91865.15445112766","-223983.15474034735","-223983.15474034735","-223983.15474034735","-197674.79522830612","-197674.79522830612","-197674.79522830612","-95786.83373926791","-95786.83373926791","-95786.83373926791","-534389.8456692323","-534389.8456692323","-534389.8456692323","-304319.33107957727","-304319.33107957727","-304319.33107957727","-217342.75963082392","-217342.75963082392","-217342.75963082392","-234560.05088696236","-234560.05088696236","-234560.05088696236","-443012.99377905636","-443012.99377905636","-443012.99377905636","-193350.60736474855","-193350.60736474855","-193350.60736474855","-194028.52002336516","-194028.52002336516","-194028.52002336516","-80234.73273196325","-80234.73273196325","-80234.73273196325","-84730.0689443008","-84730.0689443008","-84730.0689443008","-231017.28668425663","-231017.28668425663","-231017.28668425663","-217670.00378975656","-217670.00378975656","-217670.00378975656","-105031.85760532058","-105031.85760532058","-105031.85760532058","-504547.6975724228","-504547.6975724228","-504547.6975724228","-478415.14050690184","-478415.14050690184","-478415.14050690184","-190000.39665922782","-190000.39665922782","-190000.39665922782","-305860.44428122253","-305860.44428122253","-305860.44428122253","-243526.7965966089","-243526.7965966089","-243526.7965966089","-92647.81093685115","-92647.81093685115","-92647.81093685115"
"4000","-527290.2421181034","-527290.2421181034","-527290.2421181034","-309773.7802393913","-309773.7802393913","-309773.7802393913","-224468.05713386","-224468.05713386","-224468.05713386","-248437.87477607996","-248437.87477607996","-248437.87477607996","-506407.62139555416","-506407.62139555416","-506407.62139555416","-202984.54839645245","-202984.54839645245","-202984.54839645245","-315659.6955875162","-315659.6955875162","-315659.6955875162","-88419.48067649968","-88419.48067649968","-88419.48067649968","-78840.3153825548","-78840.3153825548","-78840.3153825548","-574747.0853988964","-574747.0853988964","-574747.0853988964","-346262.5996468745","-346262.5996468745","-346262.5996468745","-501423.87888840365","-501423.87888840365","-501423.87888840365","-264436.8807849319","-264436.8807849319","-264436.8807849319","-271027.00980412506","-271027.00980412506","-271027.00980412506","-89333.83601445648","-89333.83601445648","-89333.83601445648","-232670.7058363705","-232670.7058363705","-232670.7058363705","-197720.27440726742","-197720.27440726742","-197720.27440726742","-91603.18835097758","-91603.18835097758","-91603.18835097758","-527582.5181973414","-527582.5181973414","-527582.5181973414","-328105.15922138654","-328105.15922138654","-328105.15922138654","-238974.5112121701","-238974.5112121701","-238974.5112121701","-239512.44793654556","-239512.44793654556","-239512.44793654556","-504592.1687396539","-504592.1687396539","-504592.1687396539","-187283.655452684","-187283.655452684","-187283.655452684","-208281.45908500443","-208281.45908500443","-208281.45908500443","-82457.56257249773","-82457.56257249773","-82457.56257249773","-79232.9333169845","-79232.9333169845","-79232.9333169845","-221461.41493488403","-221461.41493488403","-221461.41493488403","-193851.73675654098","-193851.73675654098","-193851.73675654098","-81855.17207180691","-81855.17207180691","-81855.17207180691","-570230.29625155","-570230.29625155","-570230.29625155","-545854.5540525054","-545854.5540525054","-545854.5540525054","-268820.6398751742","-268820.6398751742","-268820.6398751742","-347404.49597343","-347404.49597343","-347404.49597343","-257931.75861077008","-257931.75861077008","-257931.75861077008","-94228.48083227368","-94228.48083227368","-94228.48083227368"
"5000","-566882.1671923727","-566882.1671923727","-566882.1671923727","-336086.61375762784","-336086.61375762784","-336086.61375762784","-227144.43978861236","-227144.43978861236","-227144.43978861236","-248018.25282670656","-248018.25282670656","-248018.25282670656","-518974.24860835704","-518974.24860835704","-518974.24860835704","-204338.068959324","-204338.068959324","-204338.068959324","-367929.31221950485","-367929.31221950485","-367929.31221950485","-79980.75771161301","-79980.75771161301","-79980.75771161301","-74564.16233072522","-74564.16233072522","-74564.16233072522","-523218.2982443593","-523218.2982443593","-523218.2982443593","-342627.54582754686","-342627.54582754686","-342627.54582754686","-482330.54667108296","-482330.54667108296","-482330.54667108296","-240109.03244105398","-240109.03244105398","-240109.03244105398","-387251.77984781575","-387251.77984781575","-387251.77984781575","-82900.4271729766","-82900.4271729766","-82900.4271729766","-220770.01516216394","-220770.01516216394","-220770.01516216394","-189305.20080187317","-189305.20080187317","-189305.20080187317","-76598.86642149369","-76598.86642149369","-76598.86642149369","-520532.33185570664","-520532.33185570664","-520532.33185570664","-331949.3955001602","-331949.3955001602","-331949.3955001602","-222366.29995243993","-222366.29995243993","-222366.29995243993","-225744.87610172533","-225744.87610172533","-225744.87610172533","-531701.0158257609","-531701.0158257609","-531701.0158257609","-174796.89723129623","-174796.89723129623","-174796.89723129623","-301093.72933797486","-301093.72933797486","-301093.72933797486","-85349.0646054947","-85349.0646054947","-85349.0646054947","-81611.35006258337","-81611.35006258337","-81611.35006258337","-219943.89301897006","-219943.89301897006","-219943.89301897006","-177808.4717362424","-177808.4717362424","-177808.4717362424","-76567.10276385346","-76567.10276385346","-76567.10276385346","-578125.1773034254","-578125.1773034254","-578125.1773034254","-527690.1530346767","-527690.1530346767","-527690.1530346767","-315564.5687728314","-315564.5687728314","-315564.5687728314","-358751.0745433524","-358751.0745433524","-358751.0745433524","-247943.79785707252","-247943.79785707252","-247943.79785707252","-88515.17552316334","-88515.17552316334","-88515.17552316334"
"6000","-639034.5643363635","-639034.5643363635","-639034.5643363635","-344377.0446309854","-344377.0446309854","-344377.0446309854","-224681.0583889757","-224681.0583889757","-224681.0583889757","-249742.5650690066","-249742.5650690066","-249742.5650690066","-526379.2072340085","-526379.2072340085","-526379.2072340085","-205373.79957020003","-205373.79957020003","-205373.79957020003","-549820.5018156368","-549820.5018156368","-549820.5018156368","-72501.1662539051","-72501.1662539051","-72501.1662539051","-77049.14604559768","-77049.14604559768","-77049.14604559768","-636372.443961556","-636372.443961556","-636372.443961556","-340848.73300193745","-340848.73300193745","-340848.73300193745","-520179.0101957505","-520179.0101957505","-520179.0101957505","-248221.49311058215","-248221.49311058215","-248221.49311058215","-593301.6820508674","-593301.6820508674","-593301.6820508674","-81233.75998967193","-81233.75998967193","-81233.75998967193","-227611.69419254854","-227611.69419254854","-227611.69419254854","-203542.05686613786","-203542.05686613786","-203542.05686613786","-71553.62554818988","-71553.62554818988","-71553.62554818988","-540416.8057340613","-540416.8057340613","-540416.8057340613","-348271.8890134357","-348271.8890134357","-348271.8890134357","-233698.3736708438","-233698.3736708438","-233698.3736708438","-243262.23719092333","-243262.23719092333","-243262.23719092333","-505162.4151387999","-505162.4151387999","-505162.4151387999","-182780.17800480546","-182780.17800480546","-182780.17800480546","-534751.2409715077","-534751.2409715077","-534751.2409715077","-77255.05728318097","-77255.05728318097","-77255.05728318097","-70080.18238905944","-70080.18238905944","-70080.18238905944","-230277.318827008","-230277.318827008","-230277.318827008","-191749.5184657128","-191749.5184657128","-191749.5184657128","-78980.63872751793","-78980.63872751793","-78980.63872751793","-621396.8001529623","-621396.8001529623","-621396.8001529623","-529382.2438811309","-529382.2438811309","-529382.2438811309","-560563.4253456128","-560563.4253456128","-560563.4253456128","-365301.289901873","-365301.289901873","-365301.289901873","-256319.14302280726","-256319.14302280726","-256319.14302280726","-85537.10694147547","-85537.10694147547","-85537.10694147547"
"7000","-686576.9125573885","-686576.9125573885","-686576.9125573885","-372772.09879499744","-372772.09879499744","-372772.09879499744","-218675.46555134153","-218675.46555134153","-218675.46555134153","-248586.76531543795","-248586.76531543795","-248586.76531543795","-533681.0468035683","-533681.0468035683","-533681.0468035683","-207689.9323344047","-207689.9323344047","-207689.9323344047","-554623.4544138877","-554623.4544138877","-554623.4544138877","-80705.92087432007","-80705.92087432007","-80705.92087432007","-72753.25178131259","-72753.25178131259","-72753.25178131259","-651380.6146402421","-651380.6146402421","-651380.6146402421","-385227.8311895113","-385227.8311895113","-385227.8311895113","-511812.1039566036","-511812.1039566036","-511812.1039566036","-254415.60951122522","-254415.60951122522","-254415.60951122522","-588310.6402488825","-588310.6402488825","-588310.6402488825","-78757.86464851991","-78757.86464851991","-78757.86464851991","-234750.50733782796","-234750.50733782796","-234750.50733782796","-188917.30013222477","-188917.30013222477","-188917.30013222477","-68122.55739356703","-68122.55739356703","-68122.55739356703","-629090.0529682655","-629090.0529682655","-629090.0529682655","-356756.61634451314","-356756.61634451314","-356756.61634451314","-228072.02949238193","-228072.02949238193","-228072.02949238193","-238390.79311261108","-238390.79311261108","-238390.79311261108","-487655.1781833136","-487655.1781833136","-487655.1781833136","-171988.87759219803","-171988.87759219803","-171988.87759219803","-541888.2934134558","-541888.2934134558","-541888.2934134558","-70881.25782263083","-70881.25782263083","-70881.25782263083","-78250.98779591001","-78250.98779591001","-78250.98779591001","-213275.17566638908","-213275.17566638908","-213275.17566638908","-191080.25580551845","-191080.25580551845","-191080.25580551845","-67336.93005585248","-67336.93005585248","-67336.93005585248","-651900.7881858473","-651900.7881858473","-651900.7881858473","-472101.00675942114","-472101.00675942114","-472101.00675942114","-568770.1979864511","-568770.1979864511","-568770.1979864511","-364772.0722089136","-364772.0722089136","-364772.0722089136","-241406.0651621526","-241406.0651621526","-241406.0651621526","-82114.0216771317","-82114.0216771317","-82114.0216771317"
"8000","-628865.5774130517","-628865.5774130517","-628865.5774130517","-372179.5521037986","-372179.5521037986","-372179.5521037986","-206729.0881784395","-206729.0881784395","-206729.0881784395","-241189.46704777927","-241189.46704777927","-241189.46704777927","-483085.8443648172","-483085.8443648172","-483085.8443648172","-161325.80997260503","-161325.80997260503","-161325.80997260503","-584322.4486103811","-584322.4486103811","-584322.4486103811","-77245.75682735625","-77245.75682735625","-77245.75682735625","-74338.76614697225","-74338.76614697225","-74338.76614697225","-689753.3597381457","-689753.3597381457","-689753.3597381457","-398522.9536262294","-398522.9536262294","-398522.9536262294","-503415.4678660025","-503415.4678660025","-503415.4678660025","-253029.6704387637","-253029.6704387637","-253029.6704387637","-597427.2398392941","-597427.2398392941","-597427.2398392941","-97882.43743050602","-97882.43743050602","-97882.43743050602","-231645.10279773336","-231645.10279773336","-231645.10279773336","-175580.00594379412","-175580.00594379412","-175580.00594379412","-70321.17776397537","-70321.17776397537","-70321.17776397537","-630279.0078312933","-630279.0078312933","-630279.0078312933","-356588.6484695127","-356588.6484695127","-356588.6484695127","-232316.155293225","-232316.155293225","-232316.155293225","-226402.35308816037","-226402.35308816037","-226402.35308816037","-529930.1675908157","-529930.1675908157","-529930.1675908157","-169244.69121795922","-169244.69121795922","-169244.69121795922","-625866.2455557412","-625866.2455557412","-625866.2455557412","-80867.69080233229","-80867.69080233229","-80867.69080233229","-70436.98335226471","-70436.98335226471","-70436.98335226471","-219305.4781351633","-219305.4781351633","-219305.4781351633","-133503.81159099","-133503.81159099","-133503.81159099","-72421.08417836971","-72421.08417836971","-72421.08417836971","-693776.1394563642","-693776.1394563642","-693776.1394563642","-484139.0011775651","-484139.0011775651","-484139.0011775651","-601034.6461747217","-601034.6461747217","-601034.6461747217","-393147.4335659036","-393147.4335659036","-393147.4335659036","-252961.51458886225","-252961.51458886225","-252961.51458886225","-95864.57877699166","-95864.57877699166","-95864.57877699166"
"9000","-670399.0137227625","-670399.0137227625","-670399.0137227625","-363631.4505422938","-363631.4505422938","-363631.4505422938","-232532.69974269494","-232532.69974269494","-232532.69974269494","-224853.36258337417","-224853.36258337417","-224853.36258337417","-509641.98307719134","-509641.98307719134","-509641.98307719134","-168290.83901069534","-168290.83901069534","-168290.83901069534","-439527.0652901139","-439527.0652901139","-439527.0652901139","-91833.48738825716","-91833.48738825716","-91833.48738825716","-72366.16170375547","-72366.16170375547","-72366.16170375547","-688848.7278928737","-688848.7278928737","-688848.7278928737","-425252.1871139998","-425252.1871139998","-425252.1871139998","-504670.6966547828","-504670.6966547828","-504670.6966547828","-251039.57477993905","-251039.57477993905","-251039.57477993905","-486715.3036474138","-486715.3036474138","-486715.3036474138","-107609.33728182867","-107609.33728182867","-107609.33728182867","-232812.72611548327","-232812.72611548327","-232812.72611548327","-176865.36812296158","-176865.36812296158","-176865.36812296158","-70874.60467415836","-70874.60467415836","-70874.60467415836","-661551.3341693098","-661551.3341693098","-661551.3341693098","-375661.8894033128","-375661.8894033128","-375661.8894033128","-228437.58628019647","-228437.58628019647","-228437.58628019647","-231650.33694033188","-231650.33694033188","-231650.33694033188","-478503.8359868404","-478503.8359868404","-478503.8359868404","-190118.91933211318","-190118.91933211318","-190118.91933211318","-567813.947755847","-567813.947755847","-567813.947755847","-97705.45666662855","-97705.45666662855","-97705.45666662855","-69980.94435868073","-69980.94435868073","-69980.94435868073","-238490.9562077665","-238490.9562077665","-238490.9562077665","-198957.90235502124","-198957.90235502124","-198957.90235502124","-72945.52682992298","-72945.52682992298","-72945.52682992298","-691148.0936257725","-691148.0936257725","-691148.0936257725","-497703.89847589465","-497703.89847589465","-497703.89847589465","-466835.74248268193","-466835.74248268193","-466835.74248268193","-398216.4400128425","-398216.4400128425","-398216.4400128425","-238989.59085997246","-238989.59085997246","-238989.59085997246","-105219.24115642493","-105219.24115642493","-105219.24115642493"
"10000","-665175.5408292548","-665175.5408292548","-665175.5408292548","-396370.36377887125","-396370.36377887125","-396370.36377887125","-225121.66975244365","-225121.66975244365","-225121.66975244365","-242111.83893941191","-242111.83893941191","-242111.83893941191","-512681.9113381952","-512681.9113381952","-512681.9113381952","-137056.08023234326","-137056.08023234326","-137056.08023234326","-574079.2739996224","-574079.2739996224","-574079.2739996224","-101479.16633858801","-101479.16633858801","-101479.16633858801","-66816.66735485461","-66816.66735485461","-66816.66735485461","-686529.3631373359","-686529.3631373359","-686529.3631373359","-417558.94587287743","-417558.94587287743","-417558.94587287743","-502764.6519587957","-502764.6519587957","-502764.6519587957","-241209.8347365215","-241209.8347365215","-241209.8347365215","-569343.7237569056","-569343.7237569056","-569343.7237569056","-98508.16233889876","-98508.16233889876","-98508.16233889876","-234473.65833152033","-234473.65833152033","-234473.65833152033","-181712.04972668012","-181712.04972668012","-181712.04972668012","-73861.2309950739","-73861.2309950739","-73861.2309950739","-676337.3016912692","-676337.3016912692","-676337.3016912692","-414250.05520469963","-414250.05520469963","-414250.05520469963","-224526.08625994838","-224526.08625994838","-224526.08625994838","-241855.16684474135","-241855.16684474135","-241855.16684474135","-560485.696683805","-560485.696683805","-560485.696683805","-177106.77237394117","-177106.77237394117","-177106.77237394117","-600364.8728941646","-600364.8728941646","-600364.8728941646","-116396.41866826163","-116396.41866826163","-116396.41866826163","-68959.44704588437","-68959.44704588437","-68959.44704588437","-215756.28927042137","-215756.28927042137","-215756.28927042137","-167311.47771753132","-167311.47771753132","-167311.47771753132","-76373.1983828885","-76373.1983828885","-76373.1983828885","-677008.8630891014","-677008.8630891014","-677008.8630891014","-518536.4690246041","-518536.4690246041","-518536.4690246041","-602394.1430077483","-602394.1430077483","-602394.1430077483","-416030.84950792644","-416030.84950792644","-416030.84950792644","-244312.93317019893","-244312.93317019893","-244312.93317019893","-122503.5006667885","-122503.5006667885","-122503.5006667885"
